"GDP per capita, current prices (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Fiji,1941.876,1947.628,1833.922,1682.16,1727.279,1647.503,1845.552,1678.205,1579.6,1650.188,1808.653,1857.766,2039.328,2159.947,2391.808,2561.679,2747.213,2682.198,2105.335,2452.176,2111.221,2066.446,2277.858,2842.89,3324.78,3640.166,3730.849,4066.886,4334.791,3514.994,3827.13,4422.608,4632.025,4863.456,5179.865,5017.175,5357.484,5761.062,6114.407,6483.152,6874.156,7288.741,7720.849
Finland,11261.272,10991.49,11039.387,10546.858,10889.008,11490.921,14999.985,18633.449,22031.74,24067.004,28507.164,25663.521,22490.249,17670.344,20433.743,26349.626,25827.609,24746.045,26054.463,26242.767,24347.469,24967.82,26958.545,32921.376,37748.129,39106.576,41240.452,48463.305,53785.144,47337.938,46391.713,50960.182,47553.397,49766.126,50087.853,42501.245,43482.406,45692.892,49206.649,51018.722,52749.984,54236.805,55722.789
France,13111.787,11497.085,10860.896,10330.873,9733.747,10149.984,14006.561,16871.826,18326.779,18328.022,22600.462,22524.405,24725.736,23212.099,24398.135,27898.303,27870.574,25166.999,25951.704,25680.897,23317.944,23342.092,25226.206,30808.706,35153.793,36209.519,37900.031,43155.504,47273.321,43234.246,42249.064,45430.283,42333.09,44104.924,44571.659,37840.083,38177.856,39673.138,42418.746,43830.648,45214.036,46413.071,47623.702
Gabon,6093.615,5376.616,4930.527,4619.015,4346.388,4478.468,5735.355,4245.955,4581.144,4899.234,6815.634,5993.32,6015.511,5677.618,4293.942,4956.842,5552.917,5068.093,4161.617,4222.734,4477.321,4062.351,4193.464,5005.606,5829.801,6936.103,7264.249,8639.698,10377.414,7833.864,8917.315,10891.096,9903.189,9760.882,9956.474,7754.492,7453.366,7583.932,8006.021,8423.251,8831.352,9269.134,9780.705
"Gambia, The",646.083,581.82,530.811,513.319,354.42,414.081,310.455,399.786,445.779,449.906,506.989,511.142,532.507,538.797,515.654,522.425,530.113,524.934,524.071,522.608,494.359,476.03,407.787,392.422,414.981,433.291,440.314,519.954,608.648,549.533,562.2,513.569,503.581,481.53,432.134,448.158,469.043,488.468,498.504,508.991,518.335,526.85,535.538
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,167.794,397.848,655.332,770.192,800.675,627.58,689.35,731.21,776.793,924.35,1201.953,1522.416,1862.95,2478.769,3158.884,2693.734,2951.244,3710.701,4130.549,4266.593,4428.262,3761.91,3871.824,4123.314,4528.906,4884.28,5282.223,5745.055,6258.636
Germany,11069.918,9296.657,8982.042,8992.023,8507.111,8649.293,12343.874,15355.904,16454.698,16174.37,20174.09,23371.686,26441.884,25569.634,27247.029,31907.944,30744.887,27257.16,27582.013,27054.505,24008.66,23949.76,25576.541,30785.51,34657.304,35239.901,37020.463,42531.377,46681.071,42576.208,42641.549,46853.217,44089.549,46545.379,48118.745,41344.651,42176.854,44184.445,47535.422,49180.543,50837.458,52287.103,53810.127
Ghana,2495.675,4018.132,4543.851,3299.581,981.094,802.722,710.799,591.411,611.468,603.887,697.566,765.977,733.931,629.466,560.648,647.989,678.78,655.83,694.591,700.493,440.32,457.951,518.058,625.263,709.468,835.901,952.301,1126.861,1266.113,1107.394,1357.644,1627.899,1682.583,1870.158,1479.018,1372.174,1551.415,1607.739,1697.395,1777.371,1849.519,1932.362,2030.012
Greece,5902.793,5386.846,5615.845,5053.78,4896.327,4835.332,5672.316,6575.756,7634.361,7878.323,9680.898,10283.81,11249.325,10450.665,11109.703,13000.032,13776.953,13485.692,13526.764,13867.05,12268.134,12579.239,14178.161,18533.8,22014.606,22626.136,24858.259,28899.948,32198.014,29819.229,26972.873,25896.934,22171.911,21805.257,21639.937,17955.191,18049.302,18945.088,20566.867,21358.053,22179.929,22897.215,23444.367
Grenada,1246.003,1276.906,1347.451,1373.168,1478.411,1678.863,1873.217,2163.509,2410.287,2759.682,2888.348,3118.149,3191.017,3151.541,3270.578,3413.022,3640.139,3878.39,4401.421,4751.576,5117.59,5109.959,5292.232,5773.074,5836.177,6754.512,6766.487,7324.191,7947.444,7395.088,7365.667,7410.477,7583.187,7956.076,8574.014,9342.058,9857.474,10328.237,10753.993,11186.243,11658.258,12178.639,12722.248
Guatemala,1014.948,1081.263,1067.959,1081.019,1102.926,1269.503,669.266,755.753,798.248,897.807,767.058,916.058,991.381,1052.61,1165.427,1279.143,1335.423,1479.006,1570.72,1448.276,1475.207,1568.379,1701.769,1753.339,1872.738,2077.835,2256.559,2489.954,2794.241,2635.743,2825.507,3187.836,3299.603,3452.83,3687.748,3923.56,4070.262,4184.922,4321.165,4519.651,4730.896,4932.826,5126.514
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,616.328,660.444,678.626,639.332,626.432,655.749,656.708,628.192,591.511,557.831,461.784,427.879,444.663,517.03,538.88,470.57,426.419,628.711,675.387,637.478,631.291,540.562,637.791,712.982,729.798,709.858,669.868,707.989,741.32,778.921,818.998,860.942,901.136
Guinea-Bissau,218.699,273.941,305.168,337.149,229.638,330.465,316.017,262.605,239.877,282.621,337.82,465.072,498.383,376.258,414.591,428.799,399.43,371.271,329.054,347.745,304.679,311.968,328.927,375.208,409.25,442.774,436.72,502.821,613.081,571.99,582.54,736.685,649.025,671.137,662.382,639.508,692.473,761.348,831.816,876.743,921.93,964.286,1006.811
Guyana,739.531,711.499,587.896,634.647,632.507,645.046,711.736,891.358,836.085,1072.803,905.709,1024.369,837.991,1001.878,1209.223,1366.164,1528.558,1618.376,1511.149,1549.823,1513.77,1517.114,1560.957,1612.484,1697.202,1766.006,1956.018,2334.01,2560.997,2693.189,3004.231,3414.761,3765.71,3929.407,4029.048,4150.565,4474.774,4662.296,4816.609,5042.576,6156.77,7305.733,7580.565
Haiti,260.453,281.633,287.754,303.4,330.237,360.211,393.132,190.252,123.631,112.003,139.691,123.002,72.415,81.256,231.269,359.759,364.991,411.606,450.945,494.256,462.491,413.718,393.004,329.766,387.951,465.33,505.495,615.81,674.858,668.272,662.013,740.848,766.807,810.172,829.911,809.672,758.828,761.191,805.252,843.86,884.517,922.766,958.328
Honduras,965.369,1027.84,1026.636,1055.263,1104.026,1174.226,1192.962,1262.822,1365.687,1482.571,850.16,832.248,902.651,901.375,860.229,968.433,911.308,979.457,1063.53,1049.427,1137.825,1187.493,1196.349,1228.48,1298.936,1405.781,1547.264,1720.766,1899.55,1962.068,2096.203,2315.744,2386.739,2348.764,2472.853,2567.048,2608.881,2729.778,2796.625,2834.879,2873.657,2927.244,3003.178
Hong Kong SAR,5664.005,5953.184,6096.008,5551.001,6127.277,6437.272,7328.16,8981.209,10453.737,11928.581,13280.757,15190.42,17586.434,19925.351,22038.659,22908.864,24699.003,27215.66,25653.119,24974.374,25578.345,25170.835,24733.055,23858.492,24875.651,26553.926,28030.896,30496.829,31488.09,30593.782,32421.071,34955.258,36623.533,38233.314,40185.76,42328.106,43561.08,44999.306,46076.533,47512.008,48778.763,50202.769,51925.76
Hungary,2145.104,2200.599,2243.329,2040.346,1984.018,2016.977,2331.882,2575.208,2830.165,2901.096,3302.495,3340.316,3722.402,3859.663,4156.703,4479.187,4509.077,4579.968,4733.626,4786.377,4618.419,5264.385,6639.929,8385.949,10249.532,11149.638,11392.397,13828.549,15658.63,12956.373,13007.562,14036.828,12804.164,13591.429,14107.876,12343.717,12652.454,13459.733,14742.116,15459.895,16133.206,16717.874,17276.15
Iceland,15032.961,15326.953,13886.162,11777.207,12072.728,12503.462,16539.171,22601.843,24541.557,22601.729,25580.98,26927.824,27264.816,23660.479,24114.533,26772.661,27863.706,27888.145,30714.495,32006.277,31570.813,28420.117,31890.953,38902.786,46695.731,55657.933,55394.159,67504.849,55235.253,40572.623,41622.657,45919.296,44176.684,47530.351,52199.826,50472.936,59629.047,73092.204,83749.763,89388.882,92041.992,94167.879,96036.759
India,276.35,280.764,284.468,303.761,288.563,311.426,324.248,356.246,368.341,361.454,385.378,318.104,332.497,315.42,362.366,391.249,418.63,434.709,432.225,462.218,462.978,471.701,491.989,571.555,656.517,747.335,837.46,1076.835,1048.735,1153.188,1422.929,1497.746,1481.562,1485.595,1607.406,1628.995,1741.652,1852.088,1989.299,2164.743,2354.68,2563.158,2791.065
Indonesia,673.239,736.992,741.946,659.474,672.201,658.217,610.234,562.902,621.934,696.874,770.757,847.573,907.767,1013.057,1115.613,1254.023,1394.497,1308.114,572.09,829.574,870.154,834.139,1002.907,1186.845,1280.696,1403.876,1764.79,2064.232,2418.043,2464.956,3178.133,3688.531,3744.53,3684,3533.606,3370.929,3604.291,3858.693,4116.374,4391.451,4744.058,5202.185,5662.423
Iran,2374.489,2467.077,2972.051,3495.567,3460.423,3731.585,4183.093,5430.471,6060.405,7059.022,10492.898,5373.185,868.323,1126.316,1407.947,1960.324,2629.08,3039.449,3351.023,4375.701,5682.046,5081.007,1951.332,2269.029,2671.123,3201.539,3733.096,4758.177,5434.887,5419.41,6235.527,7680.859,5118.474,5152.037,5395.791,4723.476,5026.67,5252.413,4837.688,5103.895,5414.777,5713.79,6071.367
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,608.655,1373.738,1828.738,2321.258,3090.851,4472.118,3701.862,4473.71,5848.537,6692.576,7021.406,6517.259,4869.207,4532.736,4958.069,5091.23,5193.826,5361.86,5568.967,5806.044
Ireland,6250.316,5884.588,6076.306,5838.098,5591.01,5935.015,7957.031,9417.815,10363.534,10753.653,13641.644,13748.496,15331.619,14128.499,15452.188,19082.535,20775.895,22464.536,24186.267,26189.995,26153.734,28085.291,32450.219,40920.855,47347.824,50473.705,53778.423,60831.82,61213.615,52112.888,48674.324,52212.573,49066.808,51867.395,55826.11,62344.678,64782.3,68604.375,74492.543,77742.078,80918.093,83764.865,86597.752
Israel,6080.849,6397.24,6735.243,7355.31,6874.476,6277.779,7610.138,8943.644,10897.511,10900.187,12470.359,13320.198,14369.739,14070.443,15657.819,18107.043,19352.725,19700.476,19435.939,19156.737,21053.346,20307.821,18437.129,18971.712,19900.499,20566.739,21834.109,24902.762,29540.59,27722.008,30654.337,33701.493,32539.282,36307.198,37556.294,35705.407,37192.14,39974.34,40762.43,41377.49,42259.403,43145.117,44064.458
Italy,8576.081,7764.518,7668.017,7951.107,7854.763,8110.888,11485.191,14415.464,15966.447,16591.142,20690.996,21844.143,23159.17,18609.968,19186.321,20609.055,23033.403,21811.841,22283.565,21968.415,20116.615,20423.14,22298.572,27493.855,31249.582,31961.477,33341.157,37685.357,40689.133,36849.92,35657.647,38003.359,34469.65,35219.795,35456.697,30032.106,30507.181,31618.678,33725.014,34671.166,35577.309,36303.286,36985.381
Jamaica,1214.379,1310.503,1479.509,1289.23,948,878.359,1034.771,1158.596,1372.734,1588.557,1971.695,1799.773,1804.411,2280.661,2266.075,2657.668,2835.026,3218.158,3339.396,3320.51,3367.753,3391.605,3552.575,3397.724,3654.791,4010.179,4253.269,4756.272,5054.543,4435.332,4812.073,5230.726,5330.88,5101.923,4953.122,5052.677,4933.799,5023.606,5230.274,5467.224,5741.694,6046.942,6365.529
Japan,9339.27,10245.376,9473.798,10264.325,10813.987,11494.325,16970.562,20453.565,24704.268,24628.061,25195.882,28717.846,31193.806,35657.272,39224.151,43454.779,38453.377,35042.318,31931.068,35912.458,38533.864,33860.453,32301.301,34844.659,37701.442,37228.225,35464.644,35342.482,39453.502,41014.194,44673.608,48168.814,48632.913,40490.155,38143.113,34493.264,38882.636,38550.089,40063.255,41314.41,42049.615,42963.225,44005.828
Jordan,1750,1892.353,1944.289,1967.131,1912.998,1852.29,2283.096,2316.703,2089.271,1352.556,1199.707,1174.024,1396.769,1385.329,1497.162,1559.511,1580.727,1608.134,1711.508,1719.946,1741.926,1802.971,1879.653,1949.461,2132.974,2300.144,2688.739,2989.803,3754.282,3983.28,4322.817,4615.17,4849.875,5151.713,5374.59,5505.7,5549.141,5677.617,5837.503,6011.257,6202.238,6405.505,6615.434
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,168.645,304.849,737.242,1058.581,1349.596,1457.027,1445.898,1132.124,1230.491,1491.653,1657.15,2062.289,2862.502,3753.444,5261.01,6733.45,8349.277,7116.502,9005.258,11553.128,12300.475,13789.252,12712.104,10434.756,7456.438,8585.31,9224.342,9858.95,10526.699,11314.258,12225.344
Kenya,641.654,582.63,541.284,484.062,485.688,467.396,536.791,569.04,570.524,546.95,552.681,506.802,484.699,326.994,380.183,468.002,516.168,507.78,564.736,500.113,479.303,479.603,473.995,524.743,549.163,621.283,743.439,895.226,978.454,982.003,1038.953,1054.979,1238.875,1318.803,1431.257,1447.852,1551.705,1677.695,1790.014,1897.909,1995.098,2109.819,2242.45
Kiribati,702.094,735.458,680.896,617.277,661.104,500.889,479.615,1080.928,658.759,637.653,600.56,645.767,646.935,623.303,716.426,721.087,847.072,839.089,805.035,832.626,802.564,732.9,824.865,1016.432,1128.371,1212.133,1148.56,1356.395,1437.106,1312.41,1490.904,1688.138,1759.663,1710.478,1640.064,1520.507,1546.884,1625.162,1678.128,1729.019,1763.132,1790.299,1817.961
"Korea, Republic of",1710.794,1870.342,1977.501,2180.548,2390.645,2457.689,2803.373,3510.95,4686.323,5736.468,6513.161,7522.976,8002.149,8740.708,10206.752,12340.025,13137.108,12132.831,8083.133,10409.505,11946.77,11255.772,12782.468,14210.644,15907.906,18639.521,20893.477,23060.709,20430.64,18291.92,22086.953,24079.79,24358.78,25890.018,27811.367,27105.076,27534.841,29730.204,30919.17,32154.018,33367.913,34576.155,35769.646
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1517.279,1722.226,1789,2183.17,2220.655,2265.964,2340.193,2792.655,3323.217,3243.745,3290.622,3717.919,3598.391,3898.089,4016.459,3505.768,3601.698,3580.618,3697.55,3835.772,3997.245,4162.425,4323.695
Kuwait,20966.177,17631.854,14417.541,12973.988,13410.421,12670.687,9653.473,10956.483,9640.407,11359.505,8588.145,7960.513,13989.932,16213.488,13549.775,13871.989,15068.13,13740.681,11424.919,13358.134,17012.776,15108.112,15759.074,18786.749,21585.563,27014.773,31907.199,33732.522,42827.126,30414.739,32216.413,41831.403,45993.653,44775.38,40688.823,27884.758,26244.814,27236.747,28199.185,29259.323,30344.388,31516.564,32734.02
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,207.064,147.505,244.768,324.841,390.961,373.374,339.082,254.832,277.937,307.038,320.429,378.356,431.162,473.877,540.54,719.775,960.95,865.597,875.264,1116.335,1166.15,1269.791,1266.639,1109.428,1072.747,1139.574,1159.512,1212.822,1265.098,1312.789,1363.416
Lao P.D.R.,613.554,351.826,344.14,613.776,855.596,1047.035,712.071,487.675,308.818,370.816,426.322,487.955,543.561,595.309,673.42,763.126,775.942,716.319,267.284,278.724,333.16,334.638,345.385,416.07,479.63,542.382,686.652,822.36,1013.823,1080.469,1242.962,1463.469,1640.935,1899.979,2075.142,2212.402,2394.422,2567.502,2755.768,2974.123,3207.284,3447.07,3703.813
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,632.908,1022.24,1724.98,2163.463,2417.455,2669.57,2965.155,3140.329,3336.905,3548.497,4116.175,5111.495,6315.403,7533.788,9635.173,14010.234,16316.827,12131.328,11228.126,13735.611,13762.165,14951.829,15689.516,13614.468,14062.682,15402.657,17241.212,18406.004,19494.572,20515.355,21543.073
Lebanon,1597.854,1538.803,1053.458,1451.65,1716.057,1417.256,1088.521,1260.38,1252.563,1016.432,1050.1,1617.319,1965.326,2597.534,3062.406,3665.366,4232.268,5090.901,5552.029,5513.693,5330.985,5240.259,5430.421,5351.762,5487.237,5390.191,5404.319,6008.359,6982.066,8353.646,8850.222,9143.873,9914.051,10398.959,10810.085,11177.525,11294.66,11683.945,12081.545,12478.474,12897.748,13405.584,13950.731
Lesotho,381.835,377.699,306.462,328.493,299.507,233.778,262.057,327.015,361.263,365.054,428.297,479.248,534.663,521.355,538.489,575.939,549.531,577.996,531.226,519.875,504.247,461.244,419.258,621.461,790.208,878.251,926.197,1041.272,1029.389,1072.236,1387.283,1561.041,1478.227,1392.773,1353.857,1243.916,1178.889,1413.554,1492.896,1573.978,1657.048,1748.241,1853.578
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,191.866,194.278,199.165,158.525,180.642,205.604,223.636,274.466,311.672,314.991,341.985,397.384,438.981,480.705,481.142,474.343,477.586,474.984,475.013,494.984,522.875,543.423,589.33
Libya,13031.83,10762.563,10247.108,9371.005,8411.48,8319.667,6524.775,5815.611,5795.806,5881.526,7193.535,7776.953,7703.526,6780.858,6192.591,6882.208,7372.447,7424.949,5980.039,7067.876,7388.136,6485.16,3833.574,4831.424,5988.392,8467.716,9659.637,11711.138,12570.871,8524.772,11417.422,5402.251,12693.637,8282.151,3876.411,2813.201,3205.088,5166.17,7291.9,8852.191,10904.188,13574.075,16908.844
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1845.673,2328.215,2830.751,3166.964,3113.638,3297.451,3530.201,4146.106,5505.586,6706.027,7880.303,9246.514,12313.169,15047.25,11866.627,12010.676,14386.61,14354.248,15714.781,16594.606,14259.6,14892.535,16443.205,18311.998,19634.131,21029.373,22412.224,23849.79
Luxembourg,17738.531,15251.808,12514.668,12284.381,12032.97,12448.614,18039.819,22243.348,24980.416,26339.132,33203.643,35501.437,39232.246,39650.87,43488.502,50921.677,49924.332,44388.924,45825.406,49540.816,49183.269,48443.135,53372.178,66058.185,76341.488,81111.958,90498.254,107014.104,115987.042,104358.203,106184.607,117212.249,108038.385,115134.784,120799.371,103157.086,104094.932,107708.217,113626.62,117160.712,120511.557,123297.581,125980.302
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15611.369,16622.924,18346.731,22880.995,24969.752,28805.634,34084.156,38086.666,39615.339,50921.113,65867.576,73937.747,84859.859,86997.503,70214.904,69559.175,79563.556,86116.566,92492.19,98464.185,104125.321,110051.647
Madagascar,462.086,400.199,382.453,371.145,302.587,286.316,317.449,242.877,224.537,222.92,266.884,225.006,244.673,266.592,228.295,234.888,287.765,247.437,252.756,243.816,246.283,278.987,262.742,317.421,245.67,275.516,292.991,379.067,472.379,417.178,414.143,456.329,444.959,462.46,452.81,402.067,401.396,412.168,423.947,443.861,463.918,484.693,503.257
Malawi,326.983,318.032,295.582,298.052,284.324,254.768,251.755,232.783,251.93,272.96,298.716,371.869,300.049,343.226,197.546,227.197,363.682,414.359,264.97,261.557,250.462,240.396,272.824,245.144,259.727,267.785,284.729,306.9,358.416,405.62,442.765,493.843,359.588,317.471,343.979,353.728,294.588,326.609,341.667,350.762,366.121,382.939,401.674
Malaysia,1899.977,1893.237,1978.383,2158.889,2385.618,2124.286,1837.926,2041.02,2182.863,2347.175,2549.611,2844.899,3331.389,3664.867,3971.093,4612.497,5103.04,4941.362,3470.465,3710.067,4286.832,4130.378,4379.641,4673.914,5171.417,5599.049,6264.419,7378.585,8646.566,7439.435,8920.481,10252.588,10655.464,10699.659,11008.868,9505.324,9374.099,9659.878,10489.645,11441.815,12447.701,13539.827,14621.866
Maldives,412.508,464.914,534.906,560.243,646.388,737.78,835.636,769.824,897.934,987.814,1091.55,1184.664,1343.012,1479.446,1591.14,1903.127,2107.605,2553.949,2658.803,2842.658,2967.253,2780.451,2952.215,3690.792,4238.041,3960.43,5268.781,6128.46,7337.931,7450.777,8086.665,8078.262,8719.534,9760.659,10787.471,11542.612,11983.595,12568.603,13195.331,13874.617,14668.373,15521.402,16424.37
Mali,286.454,229.442,198.675,188.035,184.137,182.083,248.952,285.835,282.798,339.689,379.949,378.814,379.407,368.218,274.392,346.178,345.045,315.485,318.588,320.781,268.201,304.877,332.965,389.837,437.009,485.652,518.876,592.868,688.772,694.641,705.377,830.61,772.677,798.568,840.847,740.364,767.693,793.836,837.21,858.049,878.165,897.223,920.25
Malta,3796.748,3677.235,3453.664,3249.768,3101.996,3113.707,3937.745,4878.641,5501.109,5706.163,6784.865,7187.426,7915.69,6982.349,7654.262,8943.676,9071.913,9113.043,9579.392,9928.086,10440.707,10391.674,11338.417,13649.157,15126.472,15898.364,16754.942,19584.633,22116.127,20806.324,21150.423,22926.152,22054.819,24087.646,26411.768,23969.574,25329.384,27567.366,30500.193,32347.791,34118.293,35732.001,37384.472
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2156.803,2172.783,2124.081,2166.432,2279.975,2513.217,2545.2,2602.713,2694.656,2795.878,2910.93,2911.57,2919.325,3117.301,3259.346,3471.254,3562.792,3406.736,3330.673,3591.644,3623.561,3662.703,3708.678,3766.158,3823.089,3862.437
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,608.102,677.983,694.818,576.823,590.49,617.47,611.881,578.045,549.551,547.431,489.512,476.237,472.953,542.357,617.684,716.665,1029.675,1097.211,1265.27,1145.919,1318.068,1536.198,1515.414,1618.217,1488.788,1307.148,1246.612,1284.411,1274.069,1286.672,1323.733,1364.519,1419.85
Mauritius,1214.492,1136.785,1076.846,1129.842,1034.728,1039.299,1392.582,1750.111,2015.562,2055.397,2451.91,2663.923,2960.649,3015.568,3300.569,3737.144,3824.56,3546.937,3545.281,3696.125,3929.186,3856.639,4019.001,4793.714,5388.063,5282.897,5455.071,6285.798,7749.308,7082.296,7772.126,8992.962,9113.649,9479.882,10000.692,9114.972,9613.469,9671.904,10105.104,10628.822,11179.639,11733.182,12327.256
Mexico,3174.62,3984.231,2827.761,2256.07,2604.773,2706.821,1835.738,1972.363,2364.437,2823.802,3211.341,3781.788,4312.631,5234.894,5458.35,3667.931,4121.541,4904.804,5101.837,5771.715,6735.909,7143.939,7275.576,6811.343,7270.018,8085.285,8918.709,9504.481,9894.729,7930.26,9199.797,10124.102,10137.241,10659.082,10846.476,9522.404,8562.16,9249.265,10020.796,10492.686,10959.933,11469.896,11987.971
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2097.562,2064.76,1947.602,2058.476,2066.072,2184.159,2261.759,2281.655,2315.276,2272.777,2374.524,2417.864,2461.981,2535.687,2713.084,2888.182,3035.368,3193.969,3097.68,3114.653,3079.216,3157.457,3218.816,3293.744,3353.7,3407.144,3461.603,3506.36
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,234.094,301.781,314.424,391.709,461.882,527.434,464.845,321.541,361.613,408.198,459.305,549.02,721.561,832.419,951.784,1231.879,1697.2,1525.865,1632.78,1971.523,2046.183,2244.45,2245.533,1828.371,1907.373,2240.075,2457.26,2624.832,2776.974,2927.782,3035.007
